,title,vote_average,overview,noverviwe
51,Reckless,10,On Christmas eve. a relentlessly cheerful woman escapes from the killers hired by her husband. and embarks on a series of strange encounters.,On Christmas eve a relentlessly cheerful woman escapes from the killers hired by her husband and embarks on a series of strange encounters
52,The Misadventures of Margaret,10,A timid. insecure popular author with an overly-attentive professor husband decide to write an erotic novel. With encouragement from her sister and a bi-sexual friend. she goes to France with the intent of doing research at an inn where a diary she had been using documented erotic encounters. Instead she finds the inn is now a cloister for singing nuns. However. a young. divorced sound engineer is also there taping the nuns. While attracted. she mostly succumbs only to new fantasies until he follows her home to New York.,A timid insecure popular author with an overlyattentive professor husband decide to write an erotic novel With encouragement from her sister and a bisexual friend she goes to France with the intent of doing research at an inn where a diary she had been using documented erotic encounters Instead she finds the inn is now a cloister for singing nuns However a young divorced sound engineer is also there taping the nuns While attracted she mostly succumbs only to new fantasies until he follows her home to New York
53,A Story of the Forest: Mavka,10,Mavka. a water nymph. loves Lukash. a country youth. Their brief happiness ends when Lukash is forced to marry the shrewish Kilina. The Spirit of the Forest turns Lukash into a wolf as punishment for his infidelity. The strength of Mavka's love breaks the spell. but Kilina curses the nymph. transforming her into a weeping willow. This beautiful and tragic story is based on a play written in 1912 by Lesya Ukrainka. a Ukrainian poet. writer and political. civil and female activist. and includes mythological characters taken from Ukrainian folklore.,Mavka a water nymph loves Lukash a country youth Their brief happiness ends when Lukash is forced to marry the shrewish Kilina The Spirit of the Forest turns Lukash into a wolf as punishment for his infidelity The strength of Mavkas love breaks the spell but Kilina curses the nymph transforming her into a weeping willow This beautiful and tragic story is based on a play written in 1912 by Lesya Ukrainka a Ukrainian poet writer and political civil and female activist and includes mythological characters taken from Ukrainian folklore
54,Pourquoi IsraÃ«l,10,Using interviews and other footage shot especially for this documentary. French director Claude Lanzmann investigates the state of Israel in 1972. This movie concentrates on Israelis going about their business of everyday living.,Using interviews and other footage shot especially for this documentary French director Claude Lanzmann investigates the state of Israel in 1972 This movie concentrates on Israelis going about their business of everyday living
55,My Foolish Heart,10,After a long absence. Mary Jane visits her schoolfriend Eloise. and Eloise's daughter Ramona. Eloise drinks too much and is unhappily married to Lew Wengler. Eloise falls asleep and remembers her time with her true love. Walt Dreiser. at the beginning of the Second World War. She recalls the events that lead up to her split with Mary Jane. and how Lew married Eloise rather than Mary Jane.,After a long absence Mary Jane visits her schoolfriend Eloise and Eloises daughter Ramona Eloise drinks too much and is unhappily married to Lew Wengler Eloise falls asleep and remembers her time with her true love Walt Dreiser at the beginning of the Second World War She recalls the events that lead up to her split with Mary Jane and how Lew married Eloise rather than Mary Jane
56,Summer City,10,Four friends take a road trip to kick back. hit the pubs. and go surfing. Tension builds among the group between Sandy. a quiet young man who is angered by the obnoxious. womanizing Boo who seduces a teenaged girl while on their trip in one of his usual one night stands. Meanwhile. the girl's psychotic dad is also looking for Boo out of revenge for what he did to his daughter. Boo is in for a major wake up call.,Four friends take a road trip to kick back hit the pubs and go surfing Tension builds among the group between Sandy a quiet young man who is angered by the obnoxious womanizing Boo who seduces a teenaged girl while on their trip in one of his usual one night stands Meanwhile the girls psychotic dad is also looking for Boo out of revenge for what he did to his daughter Boo is in for a major wake up call
57,Eggshells,10,Experimental allegorical story about a group of hippie students in Austin. Texas. who move into an old big house in the woods. However. something else is there and it's influencing them.,Experimental allegorical story about a group of hippie students in Austin Texas who move into an old big house in the woods However something else is there and its influencing them
58,Mammal,10,After Margaret. a divorcÃ©e living in Dublin. loses her teenage son. she develops an unorthodox relationship with Joe. a homeless youth. Their tentative trust is threatened by his involvement with a violent gang and the escalation of her ex-husband's grieving rage.,After Margaret a divorcÃ©e living in Dublin loses her teenage son she develops an unorthodox relationship with Joe a homeless youth Their tentative trust is threatened by his involvement with a violent gang and the escalation of her exhusbands grieving rage
59,Tall Story,10,Love puts a college basketball star into a tailspin.,Love puts a college basketball star into a tailspin
60,Pin Boy,10,"A country boy tries to find his place in Buenos Aires. He goes to live with his cousin in the outer suburbs and works as a parapalos (""pin setter"") in one of the city's last hand-operated bowling alleys.",A country boy tries to find his place in Buenos Aires He goes to live with his cousin in the outer suburbs and works as a parapalos pin setter in one of the citys last handoperated bowling alleys
